Date,W/L,W-L,Rank,Attendance,Streak,Prev_W/L,Prev_W-L,Prev_Rank,Prev_Streak,Prev_IsOvertime,Winning_Rate,Day,Month
"Sunday, Jul 8",W,47-45,3.0,38855.0,1,L,46-45,4.0,-1.0,0.0,0.5054945054945055,Sunday,Jul
"Monday, Jul 9",W,48-45,3.0,38024.0,2,W,47-45,3.0,1.0,0.0,0.5108695652173914,Monday,Jul
"Tuesday, Jul 10",L,48-46,3.0,39113.0,-1,W,48-45,3.0,2.0,1.0,0.5161290322580645,Tuesday,Jul
"Wednesday, Jul 11",W,49-46,3.0,41099.0,1,L,48-46,3.0,-1.0,0.0,0.5106382978723404,Wednesday,Jul
"Friday, Jul 13",W,50-46,3.0,41751.0,2,W,49-46,3.0,1.0,1.0,0.5157894736842106,Friday,Jul
"Saturday, Jul 14",L,50-47,4.0,41970.0,-1,W,50-46,3.0,2.0,0.0,0.5208333333333334,Saturday,Jul
"Sunday, Jul 15",L,50-48,4.0,42098.0,-2,L,50-47,4.0,-1.0,0.0,0.5154639175257731,Sunday,Jul
"Friday, Jul 20",W,51-48,4.0,45606.0,1,L,50-48,4.0,-2.0,0.0,0.5102040816326531,Friday,Jul
"Saturday, Jul 21",L,51-49,4.0,56310.0,-1,W,51-48,4.0,1.0,0.0,0.5151515151515151,Saturday,Jul
"Sunday, Jul 22",L,51-50,4.0,44374.0,-2,L,51-49,4.0,-1.0,1.0,0.51,Sunday,Jul
"Tuesday, Jul 24",W,52-50,4.0,40276.0,1,L,51-50,4.0,-2.0,1.0,0.504950495049505,Tuesday,Jul
"Wednesday, Jul 25",L,52-51,4.0,45548.0,-1,W,52-50,4.0,1.0,0.0,0.5098039215686274,Wednesday,Jul
"Thursday, Jul 26",L,52-52,4.0,40643.0,-2,L,52-51,4.0,-1.0,0.0,0.5048543689320388,Thursday,Jul
"Friday, Jul 27",L,52-53,4.0,40414.0,-3,L,52-52,4.0,-2.0,0.0,0.5,Friday,Jul
"Saturday, Jul 28",L,52-54,4.0,40735.0,-4,L,52-53,4.0,-3.0,0.0,0.49523809523809526,Saturday,Jul
"Sunday, Jul 29",W,53-54,4.0,41312.0,1,L,52-54,4.0,-4.0,0.0,0.49056603773584906,Sunday,Jul
"Monday, Jul 30",W,54-54,4.0,31725.0,2,W,53-54,4.0,1.0,0.0,0.4953271028037383,Monday,Jul
"Tuesday, Jul 31",W,55-54,4.0,29209.0,3,W,54-54,4.0,2.0,0.0,0.5,Tuesday,Jul
"Thursday, Aug 2",W,56-54,4.0,22980.0,4,W,55-54,4.0,3.0,0.0,0.5045871559633027,Thursday,Aug
"Friday, Aug 3",L,56-55,4.0,27581.0,-1,W,56-54,4.0,4.0,0.0,0.509090909090909,Friday,Aug
"Saturday, Aug 4",L,56-56,4.0,38093.0,-2,L,56-55,4.0,-1.0,0.0,0.5045045045045045,Saturday,Aug
"Sunday, Aug 5",W,57-56,4.0,27884.0,1,L,56-56,4.0,-2.0,0.0,0.5,Sunday,Aug
"Monday, Aug 6",L,57-57,4.0,40251.0,-1,W,57-56,4.0,1.0,0.0,0.504424778761062,Monday,Aug
"Tuesday, Aug 7",L,57-58,4.0,41613.0,-2,L,57-57,4.0,-1.0,0.0,0.5,Tuesday,Aug
"Thursday, Aug 9",L,57-59,4.0,40035.0,-3,L,57-58,4.0,-2.0,0.0,0.4956521739130435,Thursday,Aug
"Friday, Aug 10",W,58-59,4.0,41762.0,1,L,57-59,4.0,-3.0,0.0,0.49137931034482757,Friday,Aug
"Saturday, Aug 11",L,58-60,4.0,41209.0,-1,W,58-59,4.0,1.0,0.0,0.49572649572649574,Saturday,Aug
"Sunday, Aug 12",W,59-60,4.0,41980.0,1,L,58-60,4.0,-1.0,0.0,0.4915254237288136,Sunday,Aug
"Monday, Aug 13",W,60-60,4.0,45229.0,2,W,59-60,4.0,1.0,0.0,0.4957983193277311,Monday,Aug
"Tuesday, Aug 14",W,61-60,4.0,46734.0,3,W,60-60,4.0,2.0,0.0,0.5,Tuesday,Aug
"Wednesday, Aug 15",L,61-61,4.0,44987.0,-1,W,61-60,4.0,3.0,0.0,0.5041322314049587,Wednesday,Aug
"Friday, Aug 17",L,61-62,4.0,19540.0,-2,L,61-61,4.0,-1.0,1.0,0.5,Friday,Aug
"Saturday, Aug 18",L,61-63,4.0,23878.0,-3,L,61-62,4.0,-2.0,1.0,0.4959349593495935,Saturday,Aug
"Sunday, Aug 19",L,61-64,4.0,22756.0,-4,L,61-63,4.0,-3.0,0.0,0.49193548387096775,Sunday,Aug
"Monday, Aug 20",W,62-64,4.0,24811.0,1,L,61-64,4.0,-4.0,0.0,0.488,Monday,Aug
"Tuesday, Aug 21",L,62-65,4.0,24999.0,-1,W,62-64,4.0,1.0,0.0,0.49206349206349204,Tuesday,Aug
"Wednesday, Aug 22",L,62-66,4.0,28157.0,-2,L,62-65,4.0,-1.0,0.0,0.4881889763779528,Wednesday,Aug
"Thursday, Aug 23",W,63-66,4.0,25584.0,1,L,62-66,4.0,-2.0,0.0,0.484375,Thursday,Aug
"Friday, Aug 24",L,63-67,4.0,39845.0,-1,W,63-66,4.0,1.0,0.0,0.4883720930232558,Friday,Aug
"Saturday, Aug 25",W,64-67,4.0,40287.0,1,L,63-67,4.0,-1.0,0.0,0.4846153846153846,Saturday,Aug
"Sunday, Aug 26",W,65-67,4.0,39260.0,2,W,64-67,4.0,1.0,0.0,0.48854961832061067,Sunday,Aug
"Monday, Aug 27",W,66-67,4.0,38808.0,3,W,65-67,4.0,2.0,0.0,0.49242424242424243,Monday,Aug
"Tuesday, Aug 28",W,67-67,4.0,37276.0,4,W,66-67,4.0,3.0,0.0,0.49624060150375937,Tuesday,Aug
"Wednesday, Aug 29",L,67-68,4.0,35626.0,-1,W,67-67,4.0,4.0,1.0,0.5,Wednesday,Aug
"Friday, Aug 31",W,68-68,4.0,39057.0,1,L,67-68,4.0,-1.0,0.0,0.4962962962962963,Friday,Aug
"Saturday, Sep 1",L,68-69,4.0,38875.0,-1,W,68-68,4.0,1.0,0.0,0.5,Saturday,Sep
"Sunday, Sep 2",L,68-70,4.0,39692.0,-2,L,68-69,4.0,-1.0,0.0,0.49635036496350365,Sunday,Sep
"Monday, Sep 3",L,68-71,4.0,43256.0,-3,L,68-70,4.0,-2.0,0.0,0.4927536231884058,Monday,Sep
"Tuesday, Sep 4",L,68-72,4.0,24727.0,-4,L,68-71,4.0,-3.0,0.0,0.4892086330935252,Tuesday,Sep
"Wednesday, Sep 5",L,68-73,4.0,24790.0,-5,L,68-72,4.0,-4.0,0.0,0.4857142857142857,Wednesday,Sep
"Friday, Sep 7",L,68-74,4.0,30916.0,-6,L,68-73,4.0,-5.0,0.0,0.48226950354609927,Friday,Sep
"Saturday, Sep 8",L,68-75,4.0,40686.0,-7,L,68-74,4.0,-6.0,0.0,0.4788732394366197,Saturday,Sep
"Sunday, Sep 9",L,68-76,4.0,35388.0,-8,L,68-75,4.0,-7.0,0.0,0.4755244755244755,Sunday,Sep
"Monday, Sep 10",L,68-77,4.0,35996.0,-9,L,68-76,4.0,-8.0,0.0,0.4722222222222222,Monday,Sep
"Tuesday, Sep 11",L,68-78,4.0,35285.0,-10,L,68-77,4.0,-9.0,0.0,0.4689655172413793,Tuesday,Sep
"Wednesday, Sep 12",L,68-79,4.0,38156.0,-11,L,68-78,4.0,-10.0,0.0,0.4657534246575342,Wednesday,Sep
"Friday, Sep 14",W,69-79,4.0,37800.0,1,L,68-79,4.0,-11.0,0.0,0.46258503401360546,Friday,Sep
"Saturday, Sep 15",W,70-79,4.0,38204.0,2,W,69-79,4.0,1.0,0.0,0.46621621621621623,Saturday,Sep
"Sunday, Sep 16",L,70-80,4.0,38824.0,-1,W,70-79,4.0,2.0,0.0,0.4697986577181208,Sunday,Sep
"Monday, Sep 17",W,71-80,4.0,23653.0,1,L,70-80,4.0,-1.0,0.0,0.4666666666666667,Monday,Sep
"Tuesday, Sep 18",W,72-80,4.0,26285.0,2,W,71-80,4.0,1.0,0.0,0.47019867549668876,Tuesday,Sep
"Wednesday, Sep 19",L,72-81,4.0,31933.0,-1,W,72-80,4.0,2.0,0.0,0.47368421052631576,Wednesday,Sep
"Friday, Sep 21",L,72-82,4.0,45892.0,-2,L,72-81,4.0,-1.0,0.0,0.47058823529411764,Friday,Sep
"Saturday, Sep 22",L,72-83,4.0,45878.0,-3,L,72-82,4.0,-2.0,0.0,0.4675324675324675,Saturday,Sep
"Sunday, Sep 23",L,72-84,4.0,46596.0,-4,L,72-83,4.0,-3.0,1.0,0.4645161290322581,Sunday,Sep
"Monday, Sep 24",L,72-85,4.0,35428.0,-5,L,72-84,4.0,-4.0,0.0,0.46153846153846156,Monday,Sep
"Tuesday, Sep 25",W,73-85,4.0,36063.0,1,L,72-85,4.0,-5.0,0.0,0.4585987261146497,Tuesday,Sep
"Wednesday, Sep 26",L,73-86,4.0,36044.0,-1,W,73-85,4.0,1.0,1.0,0.4620253164556962,Wednesday,Sep
"Friday, Sep 28",L,73-87,4.0,41167.0,-2,L,73-86,4.0,-1.0,0.0,0.4591194968553459,Friday,Sep
"Saturday, Sep 29",L,73-88,4.0,41768.0,-3,L,73-87,4.0,-2.0,0.0,0.45625,Saturday,Sep
"Sunday, Sep 30",L,73-89,4.0,41280.0,-4,L,73-88,4.0,-3.0,0.0,0.453416149068323,Sunday,Sep
"Thursday, Apr 1",L,0-1,3.0,8174.0,-1,,0-0,,,,,Thursday,Apr
"Friday, Apr 2",W,1-1,2.0,8392.0,1,L,0-1,3.0,-1.0,1.0,0.0,Friday,Apr
"Saturday, Apr 3",L,1-2,3.0,8651.0,-1,W,1-1,2.0,1.0,0.0,0.5,Saturday,Apr
"Monday, Apr 5",W,2-2,3.0,10350.0,1,L,1-2,3.0,-1.0,0.0,0.3333333333333333,Monday,Apr
"Tuesday, Apr 6",L,2-3,3.0,10350.0,-1,W,2-2,3.0,1.0,0.0,0.5,Tuesday,Apr
"Wednesday, Apr 7",W,3-3,3.0,10350.0,1,L,2-3,3.0,-1.0,0.0,0.4,Wednesday,Apr
"Friday, Apr 9",W,4-3,3.0,7390.0,2,W,3-3,3.0,1.0,0.0,0.5,Friday,Apr
"Saturday, Apr 10",W,5-3,3.0,6176.0,3,W,4-3,3.0,2.0,0.0,0.5714285714285714,Saturday,Apr
"Sunday, Apr 11",W,6-3,3.0,6560.0,4,W,5-3,3.0,3.0,0.0,0.625,Sunday,Apr
"Monday, Apr 12",L,6-4,3.0,3662.0,-1,W,6-3,3.0,4.0,0.0,0.6666666666666666,Monday,Apr
"Tuesday, Apr 13",W,7-4,3.0,3673.0,1,L,6-4,3.0,-1.0,0.0,0.6,Tuesday,Apr
"Wednesday, Apr 14",W,8-4,2.0,6409.0,2,W,7-4,3.0,1.0,0.0,0.6363636363636364,Wednesday,Apr
"Friday, Apr 16",L,8-5,2.0,5734.0,-1,W,8-4,2.0,2.0,0.0,0.6666666666666666,Friday,Apr
"Saturday, Apr 17",L,8-6,2.0,6014.0,-2,L,8-5,2.0,-1.0,0.0,0.6153846153846154,Saturday,Apr
"Sunday, Apr 18",W,9-6,2.0,6129.0,1,L,8-6,2.0,-2.0,1.0,0.5714285714285714,Sunday,Apr
"Monday, Apr 19",W,10-6,2.0,9510.0,2,W,9-6,2.0,1.0,0.0,0.6,Monday,Apr
"Tuesday, Apr 20",W,11-6,2.0,10584.0,3,W,10-6,2.0,2.0,0.0,0.625,Tuesday,Apr
"Wednesday, Apr 21",L,11-7,2.0,9537.0,-1,W,11-6,2.0,3.0,0.0,0.6470588235294118,Wednesday,Apr
"Thursday, Apr 22",W,12-7,2.0,4580.0,1,L,11-7,2.0,-1.0,1.0,0.6111111111111112,Thursday,Apr
"Friday, Apr 23",W,13-7,2.0,6657.0,2,W,12-7,2.0,1.0,0.0,0.631578947368421,Friday,Apr
"Saturday, Apr 24",L,13-8,2.0,8282.0,-1,W,13-7,2.0,2.0,0.0,0.65,Saturday,Apr
"Sunday, Apr 25",W,14-8,2.0,7572.0,1,L,13-8,2.0,-1.0,0.0,0.6190476190476191,Sunday,Apr
"Monday, Apr 26",W,15-8,1.0,4129.0,2,W,14-8,2.0,1.0,0.0,0.6363636363636364,Monday,Apr
"Tuesday, Apr 27",L,15-9,1.0,5595.0,-1,W,15-8,1.0,2.0,0.0,0.6521739130434783,Tuesday,Apr
"Wednesday, Apr 28",W,16-9,1.0,6163.0,1,L,15-9,1.0,-1.0,0.0,0.625,Wednesday,Apr
"Friday, Apr 30",L,16-10,1.0,15250.0,-1,W,16-9,1.0,1.0,0.0,0.64,Friday,Apr
"Saturday, May 1",L,16-11,1.0,15250.0,-2,L,16-10,1.0,-1.0,0.0,0.6153846153846154,Saturday,May
"Sunday, May 2",W,17-11,1.0,15250.0,1,L,16-11,1.0,-2.0,0.0,0.5925925925925926,Sunday,May
"Tuesday, May 4 (2)",L,18-12,1.0,10213.0,-1,W,17-11,1.0,1.0,0.0,0.6071428571428571,Tuesday,May
"Wednesday, May 5",L,18-13,1.0,9521.0,-2,L,18-12,1.0,-1.0,1.0,0.6,Wednesday,May
"Friday, May 7",W,19-13,1.0,9219.0,1,L,18-13,1.0,-2.0,0.0,0.5806451612903226,Friday,May
"Saturday, May 8",W,20-13,1.0,9764.0,2,W,19-13,1.0,1.0,0.0,0.59375,Saturday,May
"Sunday, May 9",L,20-14,1.0,10008.0,-1,W,20-13,1.0,2.0,0.0,0.6060606060606061,Sunday,May
"Monday, May 10",W,21-14,1.0,7450.0,1,L,20-14,1.0,-1.0,0.0,0.5882352941176471,Monday,May
"Tuesday, May 11",W,22-14,1.0,7268.0,2,W,21-14,1.0,1.0,0.0,0.6,Tuesday,May
"Thursday, May 13",W,23-14,1.0,4099.0,3,W,22-14,1.0,2.0,0.0,0.6111111111111112,Thursday,May
"Friday, May 14",L,23-15,1.0,6743.0,-1,W,23-14,1.0,3.0,0.0,0.6216216216216216,Friday,May
"Saturday, May 15",L,23-16,1.0,7833.0,-2,L,23-15,1.0,-1.0,1.0,0.6052631578947368,Saturday,May
"Sunday, May 16",W,24-16,1.0,7356.0,1,L,23-16,1.0,-2.0,1.0,0.5897435897435898,Sunday,May
"Monday, May 17",W,25-16,1.0,11004.0,2,W,24-16,1.0,1.0,0.0,0.6,Monday,May
"Tuesday, May 18",W,26-16,1.0,8745.0,3,W,25-16,1.0,2.0,0.0,0.6097560975609756,Tuesday,May
"Wednesday, May 19",W,27-16,1.0,10326.0,4,W,26-16,1.0,3.0,0.0,0.6190476190476191,Wednesday,May
"Thursday, May 20",W,28-16,1.0,11656.0,5,W,27-16,1.0,4.0,0.0,0.627906976744186,Thursday,May
"Friday, May 21",L,28-17,1.0,12753.0,-1,W,28-16,1.0,5.0,0.0,0.6363636363636364,Friday,May
"Saturday, May 22",L,28-18,2.0,13660.0,-2,L,28-17,1.0,-1.0,0.0,0.6222222222222222,Saturday,May
"Sunday, May 23",L,28-19,3.0,13346.0,-3,L,28-18,2.0,-2.0,0.0,0.6086956521739131,Sunday,May
"Tuesday, May 25",W,29-19,3.0,10311.0,1,L,28-19,3.0,-3.0,0.0,0.5957446808510638,Tuesday,May
"Wednesday, May 26",W,30-19,2.0,8597.0,2,W,29-19,3.0,1.0,0.0,0.6041666666666666,Wednesday,May
"Thursday, May 27",L,30-20,3.0,16343.0,-1,W,30-19,2.0,2.0,0.0,0.6122448979591837,Thursday,May
"Friday, May 28",W,31-20,2.0,17873.0,1,L,30-20,3.0,-1.0,0.0,0.6,Friday,May
"Saturday, May 29",W,32-20,2.0,19097.0,2,W,31-20,2.0,1.0,0.0,0.6078431372549019,Saturday,May
"Sunday, May 30",W,33-20,2.0,18155.0,3,W,32-20,2.0,2.0,0.0,0.6153846153846154,Sunday,May
"Monday, May 31",W,34-20,1.0,13144.0,4,W,33-20,2.0,3.0,0.0,0.6226415094339622,Monday,May
"Tuesday, Jun 1",L,34-21,1.0,10546.0,-1,W,34-20,1.0,4.0,0.0,0.6296296296296297,Tuesday,Jun
"Thursday, Jun 3",W,35-21,1.0,10737.0,1,L,34-21,1.0,-1.0,0.0,0.6181818181818182,Thursday,Jun
"Friday, Jun 4",W,36-21,1.0,11524.0,2,W,35-21,1.0,1.0,0.0,0.625,Friday,Jun
"Saturday, Jun 5",W,37-21,1.0,12792.0,3,W,36-21,1.0,2.0,0.0,0.631578947368421,Saturday,Jun
"Sunday, Jun 6",L,37-22,1.0,14089.0,-1,W,37-21,1.0,3.0,0.0,0.6379310344827587,Sunday,Jun
"Tuesday, Jun 8",W,38-22,1.0,24938.0,1,L,37-22,1.0,-1.0,0.0,0.6271186440677966,Tuesday,Jun
"Wednesday, Jun 9",L,38-23,1.0,25803.0,-1,W,38-22,1.0,1.0,0.0,0.6333333333333333,Wednesday,Jun
"Friday, Jun 11",W,39-23,1.0,18029.0,1,L,38-23,1.0,-1.0,1.0,0.6229508196721312,Friday,Jun
"Saturday, Jun 12 (1)",L,39-24,1.0,16425.0,-1,W,39-23,1.0,1.0,0.0,0.6290322580645161,Saturday,Jun
"Saturday, Jun 12 (2)",W,40-24,1.0,24066.0,1,L,39-24,1.0,-1.0,0.0,0.6190476190476191,Saturday,Jun
"Sunday, Jun 13",L,40-25,1.0,21569.0,-1,W,40-24,1.0,1.0,0.0,0.625,Sunday,Jun
"Monday, Jun 14",W,41-25,1.0,9906.0,1,L,40-25,1.0,-1.0,0.0,0.6153846153846154,Monday,Jun
"Tuesday, Jun 15",W,42-25,1.0,9867.0,2,W,41-25,1.0,1.0,0.0,0.6212121212121212,Tuesday,Jun
"Wednesday, Jun 16",W,43-25,1.0,11004.0,3,W,42-25,1.0,2.0,0.0,0.6268656716417911,Wednesday,Jun
"Thursday, Jun 17",W,44-25,1.0,13144.0,4,W,43-25,1.0,3.0,0.0,0.6323529411764706,Thursday,Jun
"Friday, Jun 18",W,45-25,1.0,16170.0,5,W,44-25,1.0,4.0,0.0,0.6376811594202898,Friday,Jun
"Saturday, Jun 19",L,45-26,1.0,16774.0,-1,W,45-25,1.0,5.0,0.0,0.6428571428571429,Saturday,Jun
"Sunday, Jun 20",W,46-26,1.0,18265.0,1,L,45-26,1.0,-1.0,0.0,0.6338028169014085,Sunday,Jun
"Tuesday, Jun 22",W,47-26,1.0,28354.0,2,W,46-26,1.0,1.0,0.0,0.6388888888888888,Tuesday,Jun
"Wednesday, Jun 23",W,48-26,1.0,20620.0,3,W,47-26,1.0,2.0,0.0,0.6438356164383562,Wednesday,Jun
"Friday, Jun 25",W,49-26,1.0,36928.0,4,W,48-26,1.0,3.0,0.0,0.6486486486486487,Friday,Jun
"Saturday, Jun 26",W,50-26,1.0,33168.0,5,W,49-26,1.0,4.0,0.0,0.6533333333333333,Saturday,Jun
"Sunday, Jun 27",L,50-27,1.0,35920.0,-1,W,50-26,1.0,5.0,1.0,0.6578947368421053,Sunday,Jun
"Monday, Jun 28",L,50-28,1.0,47835.0,-2,L,50-27,1.0,-1.0,0.0,0.6493506493506493,Monday,Jun
"Tuesday, Jun 29",L,50-29,1.0,52342.0,-3,L,50-28,1.0,-2.0,0.0,0.6410256410256411,Tuesday,Jun
"Thursday, Jul 1",L,50-30,1.0,9172.0,-4,L,50-29,1.0,-3.0,0.0,0.6329113924050633,Thursday,Jul
"Friday, Jul 2",W,51-30,1.0,12262.0,1,L,50-30,1.0,-4.0,0.0,0.625,Friday,Jul
"Saturday, Jul 3",W,52-30,1.0,23689.0,2,W,51-30,1.0,1.0,0.0,0.6296296296296297,Saturday,Jul
"Sunday, Jul 4",W,53-30,1.0,27032.0,3,W,52-30,1.0,2.0,0.0,0.6341463414634146,Sunday,Jul
"Monday, Jul 5",L,53-31,1.0,32644.0,-1,W,53-30,1.0,3.0,0.0,0.6385542168674698,Monday,Jul
"Tuesday, Jul 6",L,53-32,1.0,18785.0,-2,L,53-31,1.0,-1.0,0.0,0.6309523809523809,Tuesday,Jul
"Wednesday, Jul 7",W,54-32,1.0,19067.0,1,L,53-32,1.0,-2.0,0.0,0.6235294117647059,Wednesday,Jul
"Friday, Jul 9",W,55-32,1.0,27345.0,2,W,54-32,1.0,1.0,0.0,0.627906976744186,Friday,Jul
"Saturday, Jul 10",W,56-32,1.0,25901.0,3,W,55-32,1.0,2.0,0.0,0.632183908045977,Saturday,Jul
"Sunday, Jul 11",W,57-32,1.0,26639.0,4,W,56-32,1.0,3.0,0.0,0.6363636363636364,Sunday,Jul
"Friday, Jul 16",W,58-32,1.0,33743.0,5,W,57-32,1.0,4.0,0.0,0.6404494382022472,Friday,Jul
"Saturday, Jul 17",L,58-33,1.0,40489.0,-1,W,58-32,1.0,5.0,0.0,0.6444444444444445,Saturday,Jul
"Sunday, Jul 18",L,58-34,1.0,29425.0,-2,L,58-33,1.0,-1.0,0.0,0.6373626373626373,Sunday,Jul
"Monday, Jul 19",W,59-34,1.0,50970.0,1,L,58-34,1.0,-2.0,0.0,0.6304347826086957,Monday,Jul
"Tuesday, Jul 20",L,59-35,1.0,42344.0,-1,W,59-34,1.0,1.0,0.0,0.6344086021505376,Tuesday,Jul
"Wednesday, Jul 21",W,60-35,1.0,52076.0,1,L,59-35,1.0,-1.0,1.0,0.6276595744680851,Wednesday,Jul
"Thursday, Jul 22",W,61-35,1.0,47312.0,2,W,60-35,1.0,1.0,0.0,0.631578947368421,Thursday,Jul
"Friday, Jul 23",L,61-36,1.0,26579.0,-1,W,61-35,1.0,2.0,0.0,0.6354166666666666,Friday,Jul
"Saturday, Jul 24",L,61-37,1.0,30780.0,-2,L,61-36,1.0,-1.0,0.0,0.6288659793814433,Saturday,Jul
"Sunday, Jul 25",W,62-37,1.0,30303.0,1,L,61-37,1.0,-2.0,0.0,0.6224489795918368,Sunday,Jul
"Tuesday, Jul 27",W,63-37,1.0,32878.0,2,W,62-37,1.0,1.0,0.0,0.6262626262626263,Tuesday,Jul
"Wednesday, Jul 28",L,63-38,1.0,33728.0,-1,W,63-37,1.0,2.0,0.0,0.63,Wednesday,Jul
"Thursday, Jul 29",W,64-38,1.0,35136.0,1,L,63-38,1.0,-1.0,0.0,0.6237623762376238,Thursday,Jul
"Friday, Jul 30",L,64-39,1.0,28020.0,-1,W,64-38,1.0,1.0,0.0,0.6274509803921569,Friday,Jul
"Saturday, Jul 31",W,65-39,1.0,27324.0,1,L,64-39,1.0,-1.0,0.0,0.6213592233009708,Saturday,Jul
"Sunday, Aug 1",W,66-39,1.0,29655.0,2,W,65-39,1.0,1.0,0.0,0.625,Sunday,Aug
"Monday, Aug 2",W,67-39,1.0,8904.0,3,W,66-39,1.0,2.0,0.0,0.6285714285714286,Monday,Aug
"Tuesday, Aug 3",L,67-40,1.0,8809.0,-1,W,67-39,1.0,3.0,0.0,0.6320754716981132,Tuesday,Aug
"Wednesday, Aug 4",W,68-40,1.0,8091.0,1,L,67-40,1.0,-1.0,0.0,0.6261682242990654,Wednesday,Aug
"Thursday, Aug 5",W,69-40,1.0,8773.0,2,W,68-40,1.0,1.0,0.0,0.6296296296296297,Thursday,Aug
"Friday, Aug 6",L,69-41,1.0,33250.0,-1,W,69-40,1.0,2.0,0.0,0.6330275229357798,Friday,Aug
"Saturday, Aug 7",W,70-41,1.0,34155.0,1,L,69-41,1.0,-1.0,1.0,0.6272727272727273,Saturday,Aug
"Sunday, Aug 8",W,71-41,1.0,38597.0,2,W,70-41,1.0,1.0,0.0,0.6306306306306306,Sunday,Aug
"Tuesday, Aug 10",W,72-41,1.0,23802.0,3,W,71-41,1.0,2.0,0.0,0.6339285714285714,Tuesday,Aug
"Wednesday, Aug 11",W,73-41,1.0,20037.0,4,W,72-41,1.0,3.0,1.0,0.6371681415929203,Wednesday,Aug
"Thursday, Aug 12",W,74-41,1.0,24295.0,5,W,73-41,1.0,4.0,0.0,0.6403508771929824,Thursday,Aug
"Friday, Aug 13",W,75-41,1.0,36126.0,6,W,74-41,1.0,5.0,0.0,0.6434782608695652,Friday,Aug
"Saturday, Aug 14",L,75-42,1.0,32282.0,-1,W,75-41,1.0,6.0,0.0,0.646551724137931,Saturday,Aug
"Sunday, Aug 15",W,76-42,1.0,33337.0,1,L,75-42,1.0,-1.0,0.0,0.6410256410256411,Sunday,Aug
"Monday, Aug 16",W,77-42,1.0,23511.0,2,W,76-42,1.0,1.0,0.0,0.6440677966101694,Monday,Aug
"Tuesday, Aug 17",W,78-42,1.0,23610.0,3,W,77-42,1.0,2.0,0.0,0.6470588235294118,Tuesday,Aug
"Wednesday, Aug 18",L,78-43,1.0,25360.0,-1,W,78-42,1.0,3.0,0.0,0.65,Wednesday,Aug
"Friday, Aug 20",L,78-44,1.0,40133.0,-2,L,78-43,1.0,-1.0,0.0,0.6446280991735537,Friday,Aug
"Saturday, Aug 21",W,79-44,1.0,36230.0,1,L,78-44,1.0,-2.0,0.0,0.639344262295082,Saturday,Aug
"Sunday, Aug 22",W,80-44,1.0,30345.0,2,W,79-44,1.0,1.0,0.0,0.6422764227642277,Sunday,Aug
"Tuesday, Aug 24",W,81-44,1.0,28558.0,3,W,80-44,1.0,2.0,0.0,0.6451612903225806,Tuesday,Aug
"Wednesday, Aug 25",W,82-44,1.0,24384.0,4,W,81-44,1.0,3.0,0.0,0.648,Wednesday,Aug
"Thursday, Aug 26",W,83-44,1.0,25000.0,5,W,82-44,1.0,4.0,0.0,0.6507936507936508,Thursday,Aug
"Friday, Aug 27",L,83-45,1.0,35586.0,-1,W,83-44,1.0,5.0,0.0,0.6535433070866141,Friday,Aug
"Saturday, Aug 28",W,84-45,1.0,39558.0,1,L,83-45,1.0,-1.0,0.0,0.6484375,Saturday,Aug
"Sunday, Aug 29",L,84-46,1.0,28820.0,-1,W,84-45,1.0,1.0,0.0,0.6511627906976745,Sunday,Aug
"Monday, Aug 30",L,84-47,1.0,23154.0,-2,L,84-46,1.0,-1.0,0.0,0.6461538461538462,Monday,Aug
"Tuesday, Aug 31",L,84-48,1.0,20897.0,-3,L,84-47,1.0,-2.0,0.0,0.6412213740458015,Tuesday,Aug
"Wednesday, Sep 1",L,84-49,2.0,21189.0,-4,L,84-48,1.0,-3.0,0.0,0.6363636363636364,Wednesday,Sep
"Thursday, Sep 2",W,85-49,1.0,21023.0,1,L,84-49,2.0,-4.0,0.0,0.631578947368421,Thursday,Sep
"Friday, Sep 3",W,86-49,1.0,39338.0,2,W,85-49,1.0,1.0,0.0,0.6343283582089553,Friday,Sep
"Saturday, Sep 4",L,86-50,1.0,41146.0,-1,W,86-49,1.0,2.0,1.0,0.6370370370370371,Saturday,Sep
"Sunday, Sep 5",W,87-50,1.0,41155.0,1,L,86-50,1.0,-1.0,0.0,0.6323529411764706,Sunday,Sep
"Monday, Sep 6",W,88-50,1.0,27967.0,2,W,87-50,1.0,1.0,0.0,0.635036496350365,Monday,Sep
"Tuesday, Sep 7",W,89-50,1.0,24387.0,3,W,88-50,1.0,2.0,0.0,0.6376811594202898,Tuesday,Sep
"Wednesday, Sep 8",W,90-50,1.0,20358.0,4,W,89-50,1.0,3.0,0.0,0.6402877697841727,Wednesday,Sep
"Friday, Sep 10",W,91-50,1.0,29439.0,5,W,90-50,1.0,4.0,0.0,0.6428571428571429,Friday,Sep
"Saturday, Sep 11",W,92-50,1.0,34723.0,6,W,91-50,1.0,5.0,0.0,0.6453900709219859,Saturday,Sep
"Sunday, Sep 12",W,93-50,1.0,32021.0,7,W,92-50,1.0,6.0,0.0,0.647887323943662,Sunday,Sep
"Monday, Sep 13",W,94-50,1.0,21078.0,8,W,93-50,1.0,7.0,0.0,0.6503496503496503,Monday,Sep
"Tuesday, Sep 14",W,95-50,1.0,23192.0,9,W,94-50,1.0,8.0,0.0,0.6527777777777778,Tuesday,Sep
